req_id,arrival_time,prefill_length,decode_length,completion_time,total_delay,waiting_time,execution_time,swap_count,total_swapped_time,sacrifice_count
0,0.0920,20,20,0.3472,0.2552,N/A,0.2552,0,0.0000,0
1,0.6822,20,20,0.9374,0.2552,N/A,0.2552,0,0.0000,0
2,0.9404,20,20,1.2382,0.2978,N/A,0.2978,0,0.0000,0
3,1.1194,20,20,1.9441,0.8247,0.0149,0.8098,0,0.0000,0
4,1.1527,20,20,2.0547,0.9020,0.0254,0.8766,0,0.0000,0
5,1.1859,20,20,2.1586,0.9727,0.0523,0.9205,0,0.0000,0
6,1.1977,20,20,2.1586,0.9609,0.0405,0.9205,0,0.0000,0
7,1.5920,20,20,2.6140,1.0220,0.0664,0.9557,0,0.0000,0
8,1.7722,20,20,2.7636,0.9914,0.1062,0.8853,0,0.0000,0
9,2.0137,20,20,2.9030,0.8893,0.0856,0.8037,0,0.0000,0
10,2.0177,20,20,2.9030,0.8853,0.0816,0.8037,0,0.0000,0
11,2.7047,20,20,3.1385,0.4338,0.0589,0.3749,0,0.0000,0
12,3.0550,20,20,3.9924,0.9374,0.0160,0.9214,0,0.0000,0
13,3.1018,20,20,4.3041,1.2023,0.0367,1.1656,0,0.0000,0
14,3.1411,20,20,4.5172,1.3761,0.0329,1.3432,0,0.0000,0
15,3.1809,20,20,4.7382,1.5573,0.0448,1.5125,0,0.0000,0
16,3.2520,20,20,4.9749,1.7229,0.0431,1.6798,0,0.0000,0
17,3.3979,20,20,5.5488,2.1509,0.0801,2.0709,0,0.0000,0
18,3.5088,20,20,5.8496,2.3408,0.0840,2.2568,0,0.0000,0
19,3.5763,20,20,6.0007,2.4244,0.0835,2.3410,0,0.0000,0
20,3.7618,20,20,6.4427,2.6809,0.1335,2.5474,0,0.0000,0
21,3.7913,20,20,6.4427,2.6514,0.1040,2.5474,0,0.0000,0
22,3.8590,20,20,6.5794,2.7204,0.1334,2.5870,0,0.0000,0
23,3.9485,20,20,6.7072,2.7587,0.1378,2.6210,0,0.0000,0
24,4.0679,20,20,6.8325,2.7646,0.1222,2.6424,0,0.0000,0
25,4.3694,20,20,7.2399,2.8705,0.1478,2.7227,0,0.0000,0
26,4.4131,20,20,7.3891,2.9760,0.2095,2.7666,0,0.0000,0
27,4.5547,20,20,7.5435,2.9888,0.1835,2.8053,0,0.0000,0
28,4.7307,20,20,7.6898,2.9591,0.1206,2.8386,0,0.0000,0
29,4.7400,20,20,7.8279,3.0879,0.2349,2.8530,0,0.0000,0
30,4.9234,20,20,7.9707,3.0473,0.1729,2.8744,0,0.0000,0
31,4.9601,20,20,7.9707,3.0106,0.1362,2.8744,0,0.0000,0
32,4.9732,20,20,7.9707,2.9975,0.1231,2.8744,0,0.0000,0
33,5.5563,20,20,8.6353,3.0790,0.2933,2.7858,0,0.0000,0
34,6.2172,20,20,9.2732,3.0560,0.2255,2.8306,0,0.0000,0
35,6.5412,20,20,9.6168,3.0756,0.1660,2.9096,0,0.0000,0
36,6.6125,20,20,9.7869,3.1744,0.2200,2.9544,0,0.0000,0
37,6.6326,20,20,9.7869,3.1543,0.1999,2.9544,0,0.0000,0
38,6.8586,20,20,10.0892,3.2306,0.2368,2.9938,0,0.0000,0
39,6.9724,20,20,10.2407,3.2683,0.2675,3.0008,0,0.0000,0
40,6.9979,20,20,10.2407,3.2428,0.2420,3.0008,0,0.0000,0
41,7.1319,20,20,10.3704,3.2385,0.2572,2.9813,0,0.0000,0
42,7.1388,20,20,10.3704,3.2316,0.2503,2.9813,0,0.0000,0
43,7.6095,20,20,10.7224,3.1129,0.2184,2.8946,0,0.0000,0
44,7.6682,20,20,10.7224,3.0542,0.1597,2.8946,0,0.0000,0
45,7.8812,20,20,10.9358,3.0546,0.1978,2.8568,0,0.0000,0
46,7.9544,20,20,10.9358,2.9814,0.1246,2.8568,0,0.0000,0
47,8.0984,20,20,11.1088,3.0104,0.2362,2.7742,0,0.0000,0
48,8.2535,20,20,11.2130,2.9595,0.2223,2.7371,0,0.0000,0
49,8.2936,20,20,11.2130,2.9194,0.1822,2.7371,0,0.0000,0
50,8.9784,20,20,11.7355,2.7571,0.2948,2.4622,0,0.0000,0
51,9.2710,20,20,11.8489,2.5779,0.1681,2.4098,0,0.0000,0
52,9.8211,20,20,12.3639,2.5428,0.2681,2.2747,0,0.0000,0
53,10.2627,20,20,12.8113,2.5486,0.2150,2.3336,0,0.0000,0
54,10.4413,20,20,12.9618,2.5205,0.1537,2.3669,0,0.0000,0
55,10.9412,20,20,13.7381,2.7969,0.1676,2.6293,0,0.0000,0
56,10.9593,20,20,13.7381,2.7788,0.1495,2.6293,0,0.0000,0
57,11.0021,20,20,13.7381,2.7360,0.1067,2.6293,0,0.0000,0
58,11.0112,20,20,13.7381,2.7269,0.0976,2.6293,0,0.0000,0
59,11.0884,20,20,13.8781,2.7897,0.1246,2.6651,0,0.0000,0
60,11.1849,20,20,14.0094,2.8245,0.1162,2.7083,0,0.0000,0
61,11.2469,20,20,14.1385,2.8916,0.1522,2.7394,0,0.0000,0
62,11.5929,20,20,14.5241,2.9312,0.1426,2.7886,0,0.0000,0
63,11.6794,20,20,14.6567,2.9773,0.1695,2.8078,0,0.0000,0
64,11.7441,20,20,14.7804,3.0363,0.2156,2.8206,0,0.0000,0
65,11.8975,20,20,14.9082,3.0107,0.1836,2.8270,0,0.0000,0
66,11.9273,20,20,14.9082,2.9809,0.1538,2.8270,0,0.0000,0
67,12.2450,20,20,15.2781,3.0331,0.2544,2.7787,0,0.0000,0
68,12.2602,20,20,15.2781,3.0179,0.2392,2.7787,0,0.0000,0
69,13.1101,20,20,16.1518,3.0417,0.2918,2.7499,0,0.0000,0
70,13.4002,20,20,16.3273,2.9271,0.1640,2.7630,0,0.0000,0
71,13.4436,20,20,16.4954,3.0518,0.2945,2.7573,0,0.0000,0
72,13.4447,20,20,16.4954,3.0507,0.2934,2.7573,0,0.0000,0
73,13.7760,20,20,16.8016,3.0256,0.2334,2.7922,0,0.0000,0
74,14.0166,20,20,17.1423,3.1257,0.2420,2.8837,0,0.0000,0
75,14.2727,20,20,17.4926,3.2199,0.2514,2.9685,0,0.0000,0
76,14.5619,20,20,17.8596,3.2977,0.2185,3.0792,0,0.0000,0
77,14.5770,20,20,17.8596,3.2826,0.2034,3.0792,0,0.0000,0
