req_id,arrival_time,prefill_length,decode_length,completion_time,total_delay,waiting_time,execution_time,swap_count,total_swapped_time,sacrifice_count
0,0.0000,150,30,39.7930,39.7930,N/A,39.7930,0,0.0000,0
1,0.1000,160,30,42.5110,42.4110,2.2010,40.2100,0,0.0000,0
2,0.2000,170,30,81.1230,80.9230,39.5930,41.3300,0,0.0000,0
3,0.3000,180,30,83.9210,83.6210,42.2110,41.4100,0,0.0000,0
4,0.4000,190,30,123.6530,123.2530,80.7230,42.5300,0,0.0000,0
5,0.5000,200,30,126.5310,126.0310,83.4210,42.6100,0,0.0000,0
6,0.6000,210,30,167.3830,166.7830,123.0530,43.7300,0,0.0000,0
7,0.7000,220,30,169.8800,169.1800,125.8310,43.3490,0,0.0000,0
9,0.9000,240,30,211.3150,210.4150,168.9800,41.4350,0,0.0000,0
8,0.8000,230,30,228.8500,228.0500,169.0800,58.9700,1,17.6750,0
